Id;DistrictId;Rooms;Square;LifeSquare;KitchenSquare;Floor;HouseFloor;HouseYear;Ecology_1;Ecology_2;Ecology_3;Social_1;Social_2;Social_3;Healthcare_1;Helthcare_2;Shops_1;Shops_2;LifeSquare_nan;Healthcare_1_nan;Rooms_outlier;Square_outlier;KitchenSquare_outlier;LifeSquare_outlier;HouseFloor_outlier;Floor_outlier;HouseYear_outlier;LifeSquare/Square;Square/Rooms;NonresidentialSquare;floor_cat;house_age;age_cat
5355;74;-1.0888468;-0.09899013;0.079510525;-0.5635965;0.21585833;-0.13681987;1977;-0.3639413;0;0;6;1437;3;-0.17029193;0;2;0;0;1;0;0;1;1;1;0;0;0.2870128;2.28147;-0.11811832;3;44;6
11764;93;1.3803607;-0.18884437;-0.011918226;-0.5635965;-0.957253;-1.6303458;1977;-0.95882213;0;0;0;186;0;-0.17029193;0;0;0;0;1;0;1;1;0;0;1;0;0.28701335;-1.5742934;-0.1753394;2;44;6
15528;66;1.3803607;1.3464828;1.3561633;1.8562024;1.7800066;0.6929168;2001;-0.06285632;0;0;50;12238;8;1.2624574;2;3;0;0;0;0;0;0;0;0;0;0;0.021193374;-0.61437434;0.4287019;5;20;4
10578;22;0.14575695;-0.56648517;-0.4059717;-0.96689624;-0.957253;-1.2984512;1962;-0.0048208116;0;0;30;6207;1;0.2086502;1;0;0;0;0;0;0;0;0;0;0;0;0.2636249;-1.0066502;-0.30917788;2;59;8
1490;31;-1.0888468;-1.1178652;-1.140147;-0.5635965;-1.3482901;-0.63466185;1974;0.27073357;0;1;32;5889;10;-0.26402318;4;1;0;0;0;0;0;0;0;0;0;0;-0.2690304;0.37040302;-0.5744125;1;47;7
16114;3;-1.0888468;-0.85056245;-1.0072201;-0.5635965;-0.5662159;-0.63466185;1977;-0.5728921;0;0;43;10621;1;-1.3352376;2;3;0;0;0;0;0;0;0;0;0;0;-0.57733697;0.87177324;-0.25781676;3;44;6
14753;44;0.14575695;0.21600543;0.28321734;0.24300319;-0.7617344;-1.2984512;1963;-0.6970074;0;0;24;4378;0;0.011814536;1;1;0;0;0;0;0;0;0;0;0;0;0.07317441;-0.27280563;0.012746077;2;58;8
9237;25;-1.0888468;-1.2469027;-1.0885181;-0.5635965;0.6068954;-0.3027672;2015;-0.41454723;0;0;53;13670;4;-0.17029193;1;11;0;0;1;0;0;1;1;0;1;0;0.28701335;0.12837201;-0.84913206;4;6;2
1229;3;-1.0888468;-1.1021588;-0.661845;-0.5635965;0.41137686;-0.13681987;1972;-0.5728921;0;0;43;10621;1;-1.3352376;2;3;0;0;0;0;0;0;0;0;0;0;1.1297274;0.39986312;-1.0510391;4;49;7
2293;80;-1.0888468;-1.1031196;-1.1032122;0.646303;0.21585833;0.5269695;1980;-1.0003908;0;0;39;8647;0;-0.29080355;0;5;0;0;0;0;0;0;0;0;0;0;-0.19882104;0.39806095;-0.8771283;3;41;6
3255;33;-1.0888468;-1.3569356;-1.2004793;-0.5635965;1.193451;0.6929168;1977;0.98263323;0;0;16;3893;27;-0.17029193;3;10;0;0;1;0;0;1;1;0;0;0;0.28701335;-0.07801274;-0.91920316;4;44;6
6558;1;-1.0888468;-0.89023244;-1.0645388;-0.16029663;-0.7617344;-0.13681987;2009;-0.6957661;0;0;6;1318;1;-1.1076045;1;1;0;0;0;0;0;0;0;0;0;0;-0.6389081;0.79736555;-0.36157537;2;12;3
11869;30;-1.0888468;-0.60578954;-0.011918226;-0.5635965;1.7800066;0.6929168;1977;-0.9997343;0;0;22;6398;141;0.025204718;3;23;0;0;0;0;0;1;0;0;0;0;1.3157772;1.3308848;-0.88741714;5;44;6
9915;2;-1.0888468;-0.08901242;-0.27628818;0.646303;-0.7617344;-1.2984512;1977;-0.7052132;0;0;42;9292;3;2.1328192;0;3;0;0;0;0;0;0;0;0;0;0;-0.44995257;2.300185;-0.015593793;2;44;6
14920;61;-1.0888468;-0.8684858;-0.98486936;-0.5635965;-0.17517878;-0.63466185;1976;1.5219535;0;0;52;10311;6;-0.17029193;1;9;0;0;1;0;0;0;0;0;0;0;-0.474348;0.838155;-0.31195313;3;45;6
4433;41;1.3803607;1.3001592;1.4918958;1.0496029;0.99793243;0.19507481;2011;0.46985734;0;0;36;10055;3;-0.17029193;1;0;0;0;1;0;0;0;0;0;0;0;0.27140403;-0.6433368;0.399401;4;10;2
10755;27;0.14575695;0.64677054;-0.011918226;-0.5635965;0.6068954;0.6929168;1977;-0.9025102;0;0;4;915;0;-0.17029193;0;0;0;0;1;0;0;1;0;0;0;0;-1.0923524;0.13117962;1.2517614;4;44;6
11483;1;-1.0888468;-0.4223187;-0.011918226;-0.5635965;-0.17517878;1.1907588;2014;-0.9405719;0;0;1;264;0;-0.17029193;0;1;0;0;1;0;0;1;0;0;0;0;0.8241591;1.6750145;-0.57407737;3;7;2
7974;52;-1.0888468;-0.90577453;-0.011918226;-0.5635965;-0.957253;0.6929168;1977;2.1168098;0;0;34;7065;1;-0.37114465;2;5;0;0;0;0;0;1;0;0;0;0;2.2937248;0.7682138;-1.399745;2;44;6
9832;46;0.14575695;-0.015225114;0.33456478;0.646303;-1.3482901;0.6929168;1985;0.58516335;0;0;31;6137;4;-0.17029193;0;1;0;0;1;0;0;0;0;0;0;0;0.6209231;-0.489661;-0.5325479;1;36;5
7920;183;1.3803607;2.6707184;1.4105082;2.662802;-0.7617344;-1.1325039;1977;-0.68697786;0;0;32;6748;93;-0.62288004;4;10;0;0;0;0;0;0;0;0;0;1;-1.284993;0.21356611;2.4404075;2;44;6
8614;30;0.14575695;0.6785967;-0.011918226;-0.5635965;0.99793243;0.6929168;1977;-0.9997343;0;0;22;6398;141;0.025204718;3;23;0;0;0;0;0;1;0;0;0;0;-1.1329467;0.1610272;1.3061155;4;44;6
4631;27;1.3803607;2.3871503;-0.011918226;-0.5635965;0.020339765;-0.46871454;1977;-0.39435473;0;0;2;629;1;-0.17029193;0;0;1;0;1;0;0;1;0;0;0;0;-2.6257052;0.036273133;4.22406;3;44;6
10196;30;1.3803607;1.3963151;1.60102;-0.5635965;0.020339765;2.0204957;1977;-0.9997343;0;0;22;6398;141;0.025204718;3;23;0;0;0;0;0;1;1;0;0;0;0.28701335;-0.5832182;0.83412164;3;44;6
15062;86;0.14575695;-0.2801135;-0.23331885;0.646303;-1.1527716;-0.13681987;1968;0.3600071;0;1;31;7010;5;4.6608853;3;7;0;0;0;0;0;0;0;0;0;0;0.010859982;-0.7380818;-0.38719347;2;53;7
4934;41;-1.0888468;-0.7986281;-1.1607646;-0.16029663;1.584488;0.6929168;2009;0.46985734;0;0;36;10055;3;-0.17029193;1;0;0;0;1;0;0;0;0;0;0;0;-1.0998771;0.96918464;-0.10384402;5;12;3
1063;77;-1.0888468;-0.7300376;-0.8230991;0.24300319;0.8024139;-0.13681987;1983;-0.9998029;0;0;46;10309;1;-1.0540438;1;16;0;0;0;0;0;0;0;0;1;0;-0.37727982;1.0978373;-0.43846273;4;38;5
1414;147;-1.0888468;-1.0031945;-1.0711603;0.646303;0.6068954;0.19507481;1973;1.685619;0;0;25;4756;16;2.4501665;5;8;0;0;0;0;0;0;0;0;0;0;-0.3763417;0.5854869;-0.74020886;4;48;7
12106;28;2.6149642;2.945425;3.0802438;1.4529027;1.9755251;1.6886009;2008;1.8038923;0;0;30;6564;1;-0.17029193;0;0;0;0;1;0;0;0;0;0;0;0;0.18908246;-0.56548804;1.4410564;5;13;3
6439;57;0.14575695;-0.123970225;0.17654668;0.24300319;0.8024139;-0.13681987;1980;0.118456185;0;0;49;11395;3;0.5072512;3;4;1;0;0;0;0;0;0;0;1;0;0.53647596;-0.59164566;-0.45560032;4;41;6
5112;6;0.14575695;0.44967407;0.63778985;1.0496029;1.7800066;0.6929168;2014;1.0422316;0;0;5;1564;0;-0.65233845;0;0;0;0;0;0;0;0;1;0;0;0;0.28701335;-0.053663734;-0.15408146;5;7;2
9059;47;1.3803607;0.4990642;1.6009794;-0.16029663;1.584488;0.5269695;1980;-0.9998029;0;0;46;10309;1;-1.0540438;1;16;0;0;0;0;0;0;0;0;1;0;1.8282115;-1.1441983;-0.794542;5;41;6
9936;27;-1.0888468;-0.6598778;-0.011918226;1.0496029;0.41137686;-0.13681987;2017;-0.9025102;0;0;4;915;0;-0.17029193;0;0;0;0;1;0;0;0;0;0;0;0;1.4746046;1.2294335;-1.3651545;4;4;1
13704;30;0.14575695;0.401784;-0.011918226;-0.5635965;1.7800066;0.6929168;1977;-0.9997343;0;0;22;6398;141;0.025204718;3;23;0;0;0;0;0;1;0;0;1;0;-0.755433;-0.09857657;0.83336234;5;44;6
4193;8;-1.0888468;-0.9312728;-1.1897796;-0.5635965;-0.37069732;-0.63466185;1974;0.83899343;0;0;28;6746;3;-0.17029193;1;4;0;0;1;0;0;0;0;0;0;0;-0.8884276;0.72038764;-0.20349918;3;47;7
